	items.a	items.b	items.g	items.u	means	F1
about	1.63554628463876	-1.8016234205753	0	1	0	1
above	1.14076329705817	-0.379270519756254	0	1	0	1
after	6.37843813841047	-0.662164679349527	0	1	0	1
airplane	1.96356255573622	2.34404723602177	0	1	0	1
all	1.97773601341795	-1.93471630092332	0	1	0	1
alligator	5.36960970073599	3.74971021598532	0	1	0	1
animal	2.23347857448263	1.79587211742252	0	1	0	1
ankle	5.98658115468039	1.36892260820003	0	1	0	1
another	4.09769572455838	-1.35162768643388	0	1	0	1
ant	1.40269633698642	3.55240150147646	0	1	0	1
any	2.6987563001337	-1.53095825682486	0	1	0	1
apple	1.91166551676261	0.819001227789271	0	1	0	1
applesauce	5.36960970073599	3.74971021598532	0	1	0	1
arm	2.15047487827226	1.28257390979783	0	1	0	1
around	2.12170140394742	0.0312361216176247	0	1	0	1
asleep	2.26445453414088	0.54308146275658	0	1	0	1
at	1.85171519354586	-2.64067213971095	0	1	0	1
aunt	1.64241904220902	1.23578237837968	0	1	0	1
awake	2.97185785071507	1.41795321432764	0	1	0	1
away	1.60721695143716	-0.658529107387503	0	1	0	1
baby	1.20437973725623	0.618457144365477	0	1	0	1
back	1.33799635824485	-1.52310397351743	0	1	0	1
backyard	1.25447511148384	2.38467238228937	0	1	0	1
bad	1.16644729956653	-0.646010486422135	0	1	0	1
ball	0.74673334190213	2.6895779947638	0	1	0	1
balloon	5.36960970073599	3.74971021598532	0	1	0	1
banana	5.36960970073599	3.74971021598532	0	1	0	1
basement	1.86468550153649	1.63447529214343	0	1	0	1
basket	20.2491570880319	2.03484236391696	0	1	0	1
bat	1.74632662706697	2.24673108355296	0	1	0	1
bath	1.74515616442485	1.22219533811484	0	1	0	1
bathroom	1.42023034835734	0.285962943373157	0	1	0	1
bathtub	5.36960970073599	3.74971021598532	0	1	0	1
beach	1.32834055052479	0.615903142846572	0	1	0	1
beads	5.36960970073599	3.74971021598532	0	1	0	1
beans	2.17827869901322	2.08380678167776	0	1	0	1
bear	5.95228253278017	1.88970225372561	0	1	0	1
bed	1.54246315669714	0.075793090961902	0	1	0	1
bedroom	1.660893243177	0.517065635372106	0	1	0	1
bee	0.498477519874559	2.43749059069065	0	1	0	1
before	1.55482081835739	-0.53371875476744	0	1	0	1
behind	1.47778923815193	-0.551591185710958	0	1	0	1
belt	2.24429135553224	1.5703583750506	0	1	0	1
bench	2.27384671388539	0.543438406885406	0	1	0	1
beside	3.45449100216698	0.485010703850876	0	1	0	1
better	2.23878470817875	0.147095036880137	0	1	0	1
bib	5.36960970073599	3.74971021598532	0	1	0	1
bicycle	0.832957324417681	2.09816321995165	0	1	0	1
big	2.47462389831206	-0.991784000948809	0	1	0	1
bird	0.726026477448281	2.50171894865682	0	1	0	1
bite	2.89833566520495	1.70758251447248	0	1	0	1
black	0.669247723088888	0.0616318213254833	0	1	0	1
blanket	5.0546695858675	1.80237985241299	0	1	0	1
block	5.36960970073599	3.74971021598532	0	1	0	1
blow	4.80400035503716	1.16050301493339	0	1	0	1
blue	1.1592776714366	0.981366260918508	0	1	0	1
boat	0.591453631121487	5.27996837362048	0	1	0	1
book	0.829999569312618	1.41327088028439	0	1	0	1
boots	1.59126143299932	1.46642112996165	0	1	0	1
bottle	1.39741240250016	3.55979768556935	0	1	0	1
bowl	2.14702567847867	2.09289156428672	0	1	0	1
box	1.93332519514535	0.818914988504454	0	1	0	1
boy	1.11453210468559	0.00489816649526018	0	1	0	1
bread	1.18904497571354	2.06990877020813	0	1	0	1
break.	1.98435205027958	1.39756230160143	0	1	0	1
breakfast	2.54785386139138	1.08460523937753	0	1	0	1
bring	2.836783491762	-0.254278253402055	0	1	0	1
broken	1.05282248436902	2.61458807788617	0	1	0	1
broom	20.2689684294791	2.03480582439255	0	1	0	1
brother	1.48627488699436	-0.0481725725888437	0	1	0	1
brown	0.523240723979147	3.46487537890971	0	1	0	1
brush	1.17091841350655	0.738797269913358	0	1	0	1
bubbles	1.39741240250016	3.55979768556935	0	1	0	1
bucket	1.62818142925063	3.27834269065946	0	1	0	1
