,model_name,sentence_id,sentence_text,compared_word_ids,compared_words,sentence_scores,result,word_id,word
0,bert-base-uncased,293232,that's one of the phrases that she talks about,"[2, 277, 375, 253, 276, 22, 162, 370, 589, 91, 369]","['about', 'into', 'out', 'here', 'inside', 'away', 'down', 'on top of', 'up', 'by', 'on']","[-32.40274143218994, -35.80330848693848, -36.75460147857666, -36.375874519348145, -37.03719472885132, -40.354220390319824, -38.10376167297363, -37.83862352371216, -36.975802421569824, -36.07861518859863]",True,2,about
1,bert-base-uncased,319892,well i don't know why you're unhappy about that,"[2, 19, 17, 276, 253, 378, 375, 3, 51, 27, 367]","['about', 'at', 'around', 'inside', 'here', 'over', 'out', 'above', 'beside', 'back', 'off']","[-34.765740394592285, -26.749049186706543, -34.25286865234375, -39.17150831222534, -40.78869342803955, -39.66874408721924, -33.274505615234375, -44.160632610321045, -42.03844690322876, -40.17801237106323]",False,2,about
2,bert-base-uncased,45812,"he had no sticks, however, and, casting about in his mind for a good substitute for the genuine thing, bethought him of bulrushes.","[2, 22, 353, 276, 543, 47, 367, 253, 51, 17, 277]","['about', 'away', 'next to', 'inside', 'there', 'behind', 'off', 'here', 'beside', 'around', 'into']","[-45.370731830596924, -43.39026689529419, -78.81944751739502, -83.2771782875061, -106.59265613555908, -91.95022201538086, -85.63397264480591, -91.77837896347046, -84.32780933380127, -87.97746324539185]",False,2,about
3,bert-base-uncased,367570,you like orange and green yes that's right see what did what did i say about that green light,"[2, 3, 375, 17, 370, 543, 19, 162, 91, 559, 369]","['about', 'above', 'out', 'around', 'on top of', 'there', 'at', 'down', 'by', 'to', 'on']","[-100.89538097381592, -79.18395042419434, -107.36246395111084, -82.82093286514282, -90.1702880859375, -93.77498006820679, -86.97199630737305, -82.95111465454102, -88.91015529632568, -88.85390996932983]",False,2,about
4,bert-base-uncased,323701,well we're gonna have_to try to think about how to makes sure it goes better,"[2, 19, 17, 51, 375, 91, 27, 369, 559, 162, 366]","['about', 'at', 'around', 'beside', 'out', 'by', 'back', 'on', 'to', 'down', 'of']","[-92.53299808502197, -88.8892650604248, -83.21830463409424, -85.32942628860474, -78.55619382858276, -87.45192861557007, -82.66629076004028, -97.21483659744263, -81.2870945930481, -87.55852556228638]",False,2,about
5,bert-base-uncased,229744,let's go play downstairs for about twenty minutes,"[2, 22, 543, 277, 198, 3, 366, 559, 367, 353, 589]","['about', 'away', 'there', 'into', 'for', 'above', 'of', 'to', 'off', 'next to', 'up']","[-86.13739395141602, -78.6891713142395, -84.866708278656, -86.57746171951294, -73.6813268661499, -30.976774215698242, -54.06161308288574, -48.07491064071655, -51.045971393585205, -50.433349609375]",False,2,about
6,bert-base-uncased,316134,we stopped worrying about it a long time ago,"[2, 253, 587, 367, 375, 198, 3, 276, 51, 589, 162]","['about', 'here', 'under', 'off', 'out', 'for', 'above', 'inside', 'beside', 'up', 'down']","[-46.76082992553711, -52.621548652648926, -57.13617992401123, -51.552152156829834, -44.925475120544434, -47.25877857208252, -33.56163263320923, -66.620774269104, -51.99296045303345, -56.52622079849243]",False,2,about
7,bert-base-uncased,2189,"he looked all about him and thought he must be dreaming, as he could not see anybody.","[2, 22, 253, 162, 366, 51, 19, 378, 617, 27, 587]","['about', 'away', 'here', 'down', 'of', 'beside', 'at', 'over', 'with', 'back', 'under']","[-61.081568241119385, -50.72979116439819, -54.86973762512207, -60.95260572433472, -55.61327362060547, -61.5452094078064, -63.75602340698242, -20.38185214996338, -51.471842765808105, -51.90490961074829]",False,2,about
8,bert-base-uncased,154487,but what about these guys what are we supposed to do with them,"[2, 162, 617, 3, 198, 369, 353, 17, 51, 589, 587]","['about', 'down', 'with', 'above', 'for', 'on', 'next to', 'around', 'beside', 'up', 'under']","[-43.029860496520996, -42.18455410003662, -44.78665781021118, -39.15709161758423, -26.068390369415283, -44.14837598800659, -48.716411113739014, -36.747275829315186, -33.03466987609863, -63.827006816864014]",False,2,about
9,bert-base-uncased,151406,birdie and thomas says how about a race birdie,"[2, 370, 587, 375, 617, 17, 369, 543, 378, 367, 51]","['about', 'on top of', 'under', 'out', 'with', 'around', 'on', 'there', 'over', 'off', 'beside']","[-34.280362129211426, -57.68858575820923, -50.95172119140625, -55.77950382232666, -48.272921562194824, -41.81346797943115, -54.64033842086792, -55.73109436035156, -54.5225248336792, -61.04772090911865]",True,2,about
