word	items.a	items.b	items.g	items.u	means	F1
1	about	1.74700335003446	-3.38148958828924	0	1	0	1
2	above	24.549099811867	-0.422275500786812	0	1	0	1
3	after	1.03599183792702	0.169614577622202	0	1	0	1
4	airplane	1.51024019949966	2.24121447752401	0	1	0	1
5	all	12.2270473569256	-1.95571197703957	0	1	0	1
6	alligator	6.44176818031194	3.06610286168339	0	1	0	1
7	animal	2.25830803298409	1.86773520815322	0	1	0	1
8	ankle	41.7689829669505	0.652748674281848	0	1	0	1
9	another	2.60311400235412	-3.27090268634419	0	1	0	1
10	ant	6.44176818031194	3.06610286168339	0	1	0	1
11	any	12.2270473569255	-1.95571197703958	0	1	0	1
12	apple	1.93746188161614	1.50311022966974	0	1	0	1
13	applesauce	6.44176818031194	3.06610286168339	0	1	0	1
14	arm	0.58554094434594	2.91017593252349	0	1	0	1
15	around	0.675128923962534	-1.38680952056533	0	1	0	1
16	asleep	1.69774682710792	0.534393445190611	0	1	0	1
17	at	0.729661514211785	-4.18270935463197	0	1	0	1
18	aunt	32.1675537310616	1.20008961022441	0	1	0	1
19	awake	61.6524867357381	1.09355718388164	0	1	0	1
20	away	0.708855349311813	-0.817421674550779	0	1	0	1
21	baby	0.856067802668035	1.62856993433631	0	1	0	1
22	babysitter	6.44176818031194	3.06610286168339	0	1	0	1
23	back	2.36808701966316	-1.32873730851547	0	1	0	1
24	backyard	6.44176818031194	3.06610286168339	0	1	0	1
25	bad	0.927912155581849	0.171367718862291	0	1	0	1
26	ball	1.69774682710792	0.534393445190611	0	1	0	1
27	balloon	6.44176818031194	3.06610286168339	0	1	0	1
28	banana	2.25826631762495	1.86774653372457	0	1	0	1
29	basement	6.44176818031194	3.06610286168339	0	1	0	1
30	basket	0.885506864625842	3.03031388929055	0	1	0	1
31	bat	6.44176818031194	3.06610286168339	0	1	0	1
32	bath	2.40723054003968	0.825024898646828	0	1	0	1
33	bathroom	5.88172719830287	1.05443332751195	0	1	0	1
34	bathtub	6.44176818031194	3.06610286168339	0	1	0	1
35	beach	66.3172285154108	0.301558817295933	0	1	0	1
36	beads	6.44176818031194	3.06610286168339	0	1	0	1
37	beans	2.25826631762495	1.86774653372457	0	1	0	1
38	bear	4.37281203706969	1.28018234120041	0	1	0	1
39	bed	0.927575393695202	0.171382098936465	0	1	0	1
40	bedroom	0.914033877096956	1.5657255863757	0	1	0	1
41	bee	6.44176818031194	3.06610286168339	0	1	0	1
42	before	2.17821930140152	-0.46177536898713	0	1	0	1
43	behind	0.927912155581849	0.171367718862291	0	1	0	1
44	belt	36.3651983249421	1.40691427824288	0	1	0	1
45	bench	1.8935876415483	0.222125858677831	0	1	0	1
46	beside	0.843943191244574	1.64296053409608	0	1	0	1
47	better	1.30795859967268	-1.04387480015907	0	1	0	1
48	bib	6.44176818031194	3.06610286168339	0	1	0	1
49	bicycle	0.970886409558537	2.86904333103999	0	1	0	1
50	big	12.2270473569256	-1.95571197703957	0	1	0	1
51	bird	2.25826631762495	1.86774653372457	0	1	0	1
52	bite	32.1675537310616	1.20008961022441	0	1	0	1
53	black	0.885506864625842	3.03031388929055	0	1	0	1
54	blanket	36.3651983249421	1.40691427824288	0	1	0	1
55	block	6.44176818031194	3.06610286168339	0	1	0	1
56	blow	36.3651983249421	1.40691427824288	0	1	0	1
57	blue	0.970886409558537	2.86904333103999	0	1	0	1
58	boat	36.365198324942	1.40691427824287	0	1	0	1
59	book	0.410518556404421	1.92187934658483	0	1	0	1
60	boots	4.24127472588498	0.584752017083561	0	1	0	1
61	bottle	1.23268191790412	2.50118015964938	0	1	0	1
62	bowl	1.68916169299141	1.19252758047585	0	1	0	1
63	box	0.923087384989881	-0.266151903117521	0	1	0	1
64	boy	2.08383133676095	0.235365059985092	0	1	0	1
65	bread	2.01711672922508	0.835324071015614	0	1	0	1
66	break.	2.25830803298409	1.86773520815322	0	1	0	1
67	breakfast	1.20116294655444	0.939782231364986	0	1	0	1
68	bring	1.3909041449141	-1.018801144844	0	1	0	1
69	broken	2.25830803298409	1.86773520815322	0	1	0	1
70	broom	2.25826631762495	1.86774653372457	0	1	0	1
71	brother	0.740954090069015	0.192554129045573	0	1	0	1
72	brown	36.3651983249421	1.40691427824288	0	1	0	1
73	brush	4.37281203706965	1.28018234120041	0	1	0	1
74	bubbles	2.25826631762495	1.86774653372457	0	1	0	1
75	bucket	6.44176818031194	3.06610286168339	0	1	0	1
76	bug	6.44176818031194	3.06610286168339	0	1	0	1
77	build	3.22346401727892	0.568262523579768	0	1	0	1
78	bump	1.86530133938741	-0.119696107652842	0	1	0	1
79	bunny	6.44176818031194	3.06610286168339	0	1	0	1
80	bus	1.27285567442418	0.547142640130645	0	1	0	1
81	butter	0.678830492372176	1.28516878493382	0	1	0	1
82	butterfly	6.44176818031194	3.06610286168339	0	1	0	1
83	button	3.24180047647112	0.568647375635343	0	1	0	1
84	buy	3.2669181125986	-1.23908992928143	0	1	0	1
85	by	0.545089510678659	-2.20362286682838	0	1	0	1
86	bye	2.70867083977086	1.37337486994553	0	1	0	1
87	cake	3.57776618762002	1.06225832819073	0	1	0	1
88	call	1.17857660881556	-2.17839420381333	0	1	0	1
89	camera	6.44176818031194	3.06610286168339	0	1	0	1
90	camping	1.25809296263932	1.80434020947675	0	1	0	1
91	candy	6.44176818031194	3.06610286168339	0	1	0	1
