> coef(twoPL_run10, IRTpars = TRUE, simplify=TRUE)
$items
                  a       b g u
about         2.586  -2.890 0 1
above         1.567  -0.425 0 1
after        14.503  -1.678 0 1
airplane      6.997   2.970 0 1
all          14.503  -1.678 0 1
alligator     6.997   2.970 0 1
animal        0.900   3.050 0 1
ankle         6.997   2.970 0 1
another       1.838  -2.993 0 1
ant           6.997   2.970 0 1
any          14.503  -1.678 0 1
apple         1.214   1.027 0 1
applesauce    6.997   2.970 0 1
arm           1.333   1.376 0 1
around        0.926  -1.545 0 1
asleep        4.439   0.715 0 1
at           14.464  -3.399 0 1
aunt          1.214   0.652 0 1
awake         1.049   1.532 0 1
away         68.130   0.300 0 1
baby          1.911   1.229 0 1
back          1.055  -2.619 0 1
backyard     37.771   1.406 0 1
bad           1.203  -0.933 0 1
ball          0.531   2.367 0 1
balloon       6.997   2.970 0 1
banana        6.997   2.970 0 1
basement      6.997   2.970 0 1
basket        6.997   2.970 0 1
bat           6.997   2.970 0 1
bath          2.485   1.169 0 1
bathroom      5.732   0.502 0 1
bathtub       6.997   2.970 0 1
beach        68.130   0.300 0 1
beads         6.997   2.970 0 1
beans        37.771   1.406 0 1
bear          6.997   2.970 0 1
bed          40.807   0.793 0 1
bedroom      68.130   0.300 0 1
bee           2.295   1.898 0 1
before        2.018  -0.365 0 1
behind        1.542  -0.850 0 1
belt          2.295   1.898 0 1
bench         1.838  -0.385 0 1
beside        1.845   0.639 0 1
better        1.542  -0.850 0 1
bib           6.997   2.970 0 1
bicycle      36.905   1.200 0 1
big          34.520  -1.000 0 1
bird          6.997   2.970 0 1
bite          4.624   1.307 0 1
black         2.140   0.648 0 1
blanket       4.624   1.307 0 1
block         6.997   2.970 0 1
blow         36.905   1.200 0 1
blue         36.905   1.200 0 1
boat          6.997   2.970 0 1
book          0.935   1.147 0 1
boots        67.969   1.099 0 1
bottle        6.997   2.970 0 1
bowl          0.362   5.785 0 1
box           1.214   0.652 0 1
boy          66.794   0.499 0 1
bread        37.771   1.406 0 1
break.        1.454   1.750 0 1
breakfast     2.668   0.913 0 1
bring         1.838  -0.385 0 1
broken       37.771   1.406 0 1
broom         6.997   2.970 0 1
brother       0.444  -0.190 0 1
brown         1.070   2.039 0 1
brush         4.624   1.307 0 1
bubbles       6.997   2.970 0 1
bucket        6.997   2.970 0 1
bug           6.997   2.970 0 1
build         0.970   0.697 0 1
bump          3.255   0.687 0 1
bunny         6.997   2.970 0 1
bus           1.871   1.583 0 1
butter        2.128   0.922 0 1
butterfly     6.997   2.970 0 1
button        1.040   0.679 0 1
buy           1.664  -0.829 0 1
by            3.125  -2.386 0 1
bye           2.128   0.922 0 1
cake          1.220   1.902 0 1
call         14.503  -1.678 0 1
camera        2.295   1.898 0 1
camping      67.969   1.099 0 1
candy        37.771   1.406 0 1
car           0.425  -0.190 0 1
careful      68.130   0.300 0 1
carrots       2.295   1.898 0 1
carry         2.571   0.664 0 1
cat           1.871   1.583 0 1
catch         2.128   0.922 0 1
cereal        6.997   2.970 0 1
chair         2.717   1.423 0 1
chalk         6.997   2.970 0 1
chase         0.900   3.050 0 1
cheek         6.997   2.970 0 1
cheerios      6.997   2.970 0 1
cheese        1.777   0.939 0 1
child         2.295   1.898 0 1
chin          1.070   2.039 0 1
chocolate     2.332   0.049 0 1
church        1.454   1.750 0 1
circus        6.997   2.970 0 1
clap          4.624   1.307 0 1
climb         3.754   0.460 0 1
clock         3.564  -0.758 0 1
close         2.406   0.380 0 1
closet       37.771   1.406 0 1
cloud         2.295   1.898 0 1
clown         6.997   2.970 0 1
coat          1.049   1.532 0 1
coffee        2.485   1.169 0 1
coke          6.997   2.970 0 1
cold          2.485   1.169 0 1
comb          6.074   1.103 0 1
cook          2.485   1.169 0 1
cookie        6.997   2.970 0 1
corn          6.997   2.970 0 1
couch         1.871   1.583 0 1
country       6.078   1.103 0 1
cover         0.617   2.878 0 1
cow           6.997   2.970 0 1
cowboy        6.997   2.970 0 1
cracker       6.997   2.970 0 1
crayon        6.997   2.970 0 1
crib          6.997   2.970 0 1
cry           4.624   1.307 0 1
cup           0.648   0.870 0 1
cut           0.628   2.094 0 1
cute          2.128   0.922 0 1
daddy        37.771   1.406 0 1
dance         6.074   1.103 0 1
dark         37.901   1.000 0 1
day          14.503  -1.678 0 1
deer          6.997   2.970 0 1
diaper        6.997   2.970 0 1
did           0.617  -2.533 0 1
dinner        5.732   0.502 0 1
dirty        37.771   1.406 0 1
dish          6.997   2.970 0 1
doctor        5.355   0.930 0 1
dog           2.485   1.169 0 1
doll         37.771   1.406 0 1
donkey        6.997   2.970 0 1
donut         6.997   2.970 0 1
door          2.849  -1.174 0 1
down         14.503  -1.678 0 1
downtown      6.997   2.970 0 1
draw          2.295   1.898 0 1
drawer        2.295   1.898 0 1
dress         2.717   1.423 0 1
drive         0.640   1.442 0 1
drop          0.628   2.094 0 1
dryer         6.997   2.970 0 1
duck          6.997   2.970 0 1
dump          6.997   2.970 0 1
each          0.481  -3.844 0 1
ear           1.521   2.285 0 1
eat           3.564  -0.758 0 1
egg           6.997   2.970 0 1
elephant     37.771   1.406 0 1
empty        37.771   1.406 0 1
every        34.520  -1.000 0 1
eye           1.911   1.229 0 1
face          1.212  -0.498 0 1
fall          3.754   0.460 0 1
farm          0.701   2.638 0 1
fast          1.567  -0.425 0 1
feed          5.355   0.930 0 1
find          1.464  -1.859 0 1
fine          0.760   0.786 0 1
finger        1.460   0.637 0 1
finish       68.130   0.300 0 1
fireman       6.997   2.970 0 1
firetruck     6.997   2.970 0 1
first         1.070   2.039 0 1
fit           1.354   0.992 0 1
fix           1.518   0.303 0 1
flag          6.997   2.970 0 1
flower        6.997   2.970 0 1
food          1.521   2.285 0 1
foot          0.985   2.894 0 1
for.         14.464  -3.399 0 1
fork         37.771   1.406 0 1
friend        1.439  -0.871 0 1
frog          0.900   3.050 0 1
full          1.518   0.303 0 1
game          2.139   0.648 0 1
garage        2.295   1.898 0 1
garbage       6.997   2.970 0 1
garden        2.295   1.898 0 1
gentle        1.628   0.635 0 1
get           0.855  -3.623 0 1
giraffe       6.997   2.970 0 1
girl         66.697  -0.894 0 1
give         47.359  -2.499 0 1
glass         1.214   1.027 0 1
glasses       1.521   2.285 0 1
gloves        2.295   1.898 0 1
glue          6.997   2.970 0 1
go           14.503  -1.678 0 1
good          1.464  -1.859 0 1
goose         6.997   2.970 0 1
grandma       6.078   1.103 0 1
grandpa      37.771   1.406 0 1
grapes        6.997   2.970 0 1
grass        36.866   1.200 0 1
green         0.429   2.795 0 1
grrr          6.997   2.970 0 1
gum           6.997   2.970 0 1
hair          1.460  -0.444 0 1
hamburger    37.771   1.406 0 1
hammer       37.771   1.406 0 1
hand         34.520  -1.000 0 1
happy        66.794   0.499 0 1
hard          2.849  -1.174 0 1
hat           1.533   0.963 0 1
hate          1.460  -0.444 0 1
have         14.464  -3.399 0 1
he            3.125  -2.386 0 1
head          3.564  -0.758 0 1
hear         34.520  -1.000 0 1
heavy         0.717   1.336 0 1
helicopter    6.997   2.970 0 1
hello        37.771   1.406 0 1
help         14.503  -1.678 0 1
hen           6.997   2.970 0 1
her           1.838  -2.993 0 1
here          1.194  -0.099 0 1
hers          6.997   2.970 0 1
hi            0.813   1.768 0 1
hide          1.103   1.064 0 1
high          2.140   0.648 0 1
him           2.849  -1.174 0 1
his          14.464  -3.399 0 1
hit           2.406   0.380 0 1
hold          1.518   0.303 0 1
home          1.460  -0.444 0 1
horse         2.295   1.898 0 1
hose          6.997   2.970 0 1
hot           1.534   0.963 0 1
house         3.564  -0.758 0 1
how          34.520  -1.000 0 1
hug           1.121   0.280 0 1
hungry        0.813   1.767 0 1
hurry         1.460   0.637 0 1
hurt          0.970   0.697 0 1
I             0.113 -13.340 0 1
ice          34.520  -1.000 0 1
inside        1.125  -0.110 0 1
into         14.464  -3.399 0 1
it           14.503  -1.678 0 1
jacket        2.295   1.898 0 1
jar           1.521   2.285 0 1
jeans         6.078   1.103 0 1
jello         6.997   2.970 0 1
jelly         4.624   1.307 0 1
juice         1.332   1.376 0 1
jump         40.807   0.793 0 1
keys          6.997   2.970 0 1
kick          1.070   2.039 0 1
kiss          1.325   0.643 0 1
kitchen       3.754   0.460 0 1
kitty         6.997   2.970 0 1
knee         67.969   1.099 0 1
knife         1.171   1.453 0 1
knock         1.844   0.639 0 1
ladder        1.871   1.583 0 1
lady          1.871   1.583 0 1
lamb          6.997   2.970 0 1
lamp          6.997   2.970 0 1
last          0.631  -3.257 0 1
later         2.717   1.423 0 1
leg           1.871   1.583 0 1
lick          6.997   2.970 0 1
light         1.534   0.963 0 1
like          3.125  -2.386 0 1
lion          6.997   2.970 0 1
lips          2.128   0.922 0 1
listen        1.087  -0.530 0 1
little        2.586  -2.890 0 1
lollipop      6.997   2.970 0 1
long         47.359  -2.499 0 1
look          1.066  -2.002 0 1
loud          0.758   1.847 0 1
love         14.503  -1.678 0 1
lunch         4.439   0.715 0 1
mad          20.257  -0.295 0 1
mailman       6.997   2.970 0 1
make          1.334  -1.891 0 1
man           1.285  -0.480 0 1
me           14.464  -3.399 0 1
meat         36.866   1.200 0 1
medicine      6.997   2.970 0 1
melon         6.997   2.970 0 1
meow          6.997   2.970 0 1
milk          2.485   1.169 0 1
mine          0.813   1.768 0 1
mittens       6.997   2.970 0 1
mommy        37.771   1.406 0 1
money         2.018  -0.365 0 1
monkey        6.997   2.970 0 1
moo           6.997   2.970 0 1
moon          0.961   2.167 0 1
moose         6.997   2.970 0 1
mop           6.997   2.970 0 1
more         14.503  -1.678 0 1
morning      14.503  -1.678 0 1
motorcycle    6.997   2.970 0 1
mouse         2.295   1.898 0 1
mouth         1.190  -1.414 0 1
movie         2.128   0.922 0 1
much          1.838  -2.993 0 1
muffin        6.997   2.970 0 1
my           14.464  -3.399 0 1
myself       66.697  -0.894 0 1
nail          6.997   2.970 0 1
nap           4.439   0.715 0 1
napkin        6.997   2.970 0 1
naughty      37.771   1.406 0 1
necklace      6.997   2.970 0 1
new           0.795  -2.905 0 1
nice          5.732   0.502 0 1
night        14.503  -1.678 0 1
no            6.997   2.970 0 1
noisy         6.997   2.970 0 1
none          1.032  -0.546 0 1
noodles       6.997   2.970 0 1
nose          1.871   1.583 0 1
not          44.616  -2.702 0 1
now           1.521   2.285 0 1
nurse         6.997   2.970 0 1
nuts          6.997   2.970 0 1
of           14.464  -3.399 0 1
off          34.520  -1.000 0 1
old           3.564  -0.758 0 1
on           14.464  -3.399 0 1
open          0.812   1.237 0 1
other         0.481  -3.844 0 1
ouch          6.997   2.970 0 1
our           1.585  -1.836 0 1
out           1.334  -1.891 0 1
outside       6.997   2.970 0 1
oven          1.534   0.963 0 1
over         14.503  -1.678 0 1
owl           6.997   2.970 0 1
paint         6.074   1.103 0 1
pajamas       6.997   2.970 0 1
pancake       6.997   2.970 0 1
pants        37.901   1.000 0 1
paper         0.666   2.010 0 1
park          2.332   0.049 0 1
party        37.901   1.000 0 1
pattycake     6.997   2.970 0 1
peas         37.771   1.406 0 1
peekaboo      6.997   2.970 0 1
pen           2.295   1.898 0 1
pencil        2.295   1.898 0 1
penguin       6.997   2.970 0 1
penis         6.997   2.970 0 1
penny         6.997   2.970 0 1
people        0.691  -1.203 0 1
person       34.520  -1.000 0 1
pick         14.503  -1.678 0 1
pickle        6.997   2.970 0 1
picnic        6.074   1.103 0 1
picture       0.618   0.900 0 1
pig           6.997   2.970 0 1
pillow        6.997   2.970 0 1
pizza         6.997   2.970 0 1
plant         6.997   2.970 0 1
plate         1.871   1.583 0 1
play          3.564  -0.758 0 1
playground    6.997   2.970 0 1
please        1.911   1.229 0 1
police       66.697  -0.894 0 1
pony          6.997   2.970 0 1
pool          2.128   0.922 0 1
poor          1.871   1.583 0 1
popcorn       6.997   2.970 0 1
popsicle      6.997   2.970 0 1
porch         1.454   1.750 0 1
potato        6.997   2.970 0 1
potty         6.997   2.970 0 1
pour          1.521   2.285 0 1
present       1.871   1.583 0 1
pretend       0.813   1.767 0 1
pretty        1.839  -0.385 0 1
pretzel       6.997   2.970 0 1
pudding       6.997   2.970 0 1
pull          1.051   0.280 0 1
pumpkin       6.997   2.970 0 1
puppy         6.997   2.970 0 1
purse         6.997   2.970 0 1
push          1.070   2.039 0 1
put          34.520  -1.000 0 1
puzzle        6.997   2.970 0 1
quiet         0.877   1.689 0 1
radio         2.295   1.898 0 1
rain          5.355   0.930 0 1
raisin        6.997   2.970 0 1
read         66.697  -0.894 0 1
red           0.935   1.147 0 1
refrigerator  6.997   2.970 0 1
ride         20.257  -0.295 0 1
rip           6.997   2.970 0 1
rock          1.521   2.285 0 1
roof         67.969   1.099 0 1
room          1.012   1.104 0 1
rooster       6.997   2.970 0 1
run           1.666   0.316 0 1
sad          36.866   1.200 0 1
salt          1.040   0.679 0 1
same         47.359  -2.499 0 1
sandbox       6.997   2.970 0 1
sandwich     36.905   1.200 0 1
sauce         3.574   0.915 0 1
say           1.529  -1.320 0 1
scared        3.256   0.687 0 1
scarf         3.525   1.126 0 1
school       20.257  -0.295 0 1
scissors      6.997   2.970 0 1
see           1.585  -1.836 0 1
shake         0.785  -1.128 0 1
share         0.640   1.442 0 1
she           0.537  -3.579 0 1
sheep         6.997   2.970 0 1
shush         6.997   2.970 0 1
shirt         1.333   1.376 0 1
shoe          2.295   1.898 0 1
shopping      1.713  -0.023 0 1
shorts        6.997   2.970 0 1
shoulder      0.984  -0.561 0 1
shovel        6.997   2.970 0 1
show          1.529  -1.320 0 1
shower       66.794   0.499 0 1
sick          1.070   2.039 0 1
sidewalk      6.997   2.970 0 1
sing         20.257  -0.295 0 1
sink          2.295   1.898 0 1
sister        1.712  -0.023 0 1
sit           0.973  -1.515 0 1
skate         6.997   2.970 0 1
sky           2.018  -0.365 0 1
sled          6.997   2.970 0 1
sleep        34.520  -1.000 0 1
sleepy        6.997   2.970 0 1
slipper       6.997   2.970 0 1
slow         36.905   1.200 0 1
smile         1.849   0.332 0 1
snack         6.997   2.970 0 1
sneaker       6.997   2.970 0 1
snow         37.916   1.000 0 1
snowman       6.997   2.970 0 1
snowsuit      6.997   2.970 0 1
soap          6.997   2.970 0 1
sock          6.997   2.970 0 1
soda          6.997   2.970 0 1
sofa          1.521   2.285 0 1
soft          6.997   2.970 0 1
some         47.359  -2.499 0 1
soup         37.771   1.406 0 1
spaghetti     0.962   2.166 0 1
spill         2.295   1.898 0 1
splash       37.771   1.406 0 1
spoon         6.997   2.970 0 1
sprinkler     6.997   2.970 0 1
squirrel      6.997   2.970 0 1
stairs       66.697  -0.894 0 1
stand         2.084   0.353 0 1
star          1.094   2.726 0 1
stay         14.503  -1.678 0 1
stick         4.624   1.307 0 1
sticky        6.997   2.970 0 1
stone         0.900   3.050 0 1
stop          3.564  -0.758 0 1
store         1.871   1.583 0 1
story         1.203  -0.933 0 1
stove         1.911   1.229 0 1
strawberry    6.997   2.970 0 1
street        1.664  -0.829 0 1
stroller      6.997   2.970 0 1
stuck         0.877   2.288 0 1
sun           0.853   0.737 0 1
sweater       6.997   2.970 0 1
sweep         6.997   2.970 0 1
swim          2.485   1.169 0 1
table         2.018  -0.365 0 1
take         44.616  -2.702 0 1
talk          1.334  -1.891 0 1
tape          0.900   3.050 0 1
taste         2.568   0.664 0 1
