	items.a	items.b	items.g	items.u	means	F
about	2.62448161813786	2.76728741008549	0	1	0	1
above	2.78040287812741	0.652728612300181	0	1	0	1
after	2.62448161813786	2.76728741008549	0	1	0	1
airplane	2.62448161813786	2.76728741008549	0	1	0	1
all	2.62448161813786	2.76728741008549	0	1	0	1
alligator	2.6667729207472	0.691140044696559	0	1	0	1
animal	2.78395926332274	0.188920791084296	0	1	0	1
ankle	2.64117868264586	0.700260555772122	0	1	0	1
another	2.70674827200028	0.387680648001733	0	1	0	1
ant	2.78040287812741	0.652728612300181	0	1	0	1
any	2.57971760751922	-0.292783709348059	0	1	0	1
apple	2.82639047316991	-0.293390250823345	0	1	0	1
applesauce	2.62448161813786	2.76728741008549	0	1	0	1
arm	2.62448161813786	2.76728741008549	0	1	0	1
around	2.62448161813786	2.76728741008549	0	1	0	1
asleep	2.64117868264586	0.700260555772122	0	1	0	1
at	2.62448161813786	2.76728741008549	0	1	0	1
aunt	2.26870412468659	0.512937940579022	0	1	0	1
awake	2.4770197416581	0.245365110094482	0	1	0	1
away	2.62448161813786	2.76728741008549	0	1	0	1
baby	2.39416487970324	0.263186299698344	0	1	0	1
babysitter	2.36894198544032	-0.167629679994647	0	1	0	1
back	2.18937069073012	0.313243531611681	0	1	0	1
backyard	2.62448161813786	2.76728741008549	0	1	0	1
bad	2.62448161813786	2.76728741008549	0	1	0	1
ball	2.78437243238432	-0.0745200704150983	0	1	0	1
balloon	2.53528931079732	0.431396808663882	0	1	0	1
banana	2.84372968793997	0.356663841936751	0	1	0	1
basement	2.62448161813786	2.76728741008549	0	1	0	1
basket	2.62448161813786	2.76728741008549	0	1	0	1
bat	2.54401925747145	0.736595540000776	0	1	0	1
bath	2.60008496297738	0.715288566327389	0	1	0	1
bathroom	2.64117868264586	0.700260555772122	0	1	0	1
bathtub	2.26870412468659	0.512937940579022	0	1	0	1
beach	2.30138296238349	0.501896417248737	0	1	0	1
beads	2.62448161813786	2.76728741008549	0	1	0	1
beans	2.69200057175905	0.391213823680938	0	1	0	1
bear	2.62448161813786	2.76728741008549	0	1	0	1
bed	2.94831855690491	0.0295961379615363	0	1	0	1
bedroom	2.62448161813786	2.76728741008549	0	1	0	1
bee	2.6667729207472	0.691140044696559	0	1	0	1
before	2.967807887285	-0.0872354264024157	0	1	0	1
behind	2.62448161813786	2.76728741008549	0	1	0	1
belt	2.62448161813786	2.76728741008549	0	1	0	1
bench	2.62448161813786	2.76728741008549	0	1	0	1
beside	2.78499464007131	0.369575911639526	0	1	0	1
