word	items.a	items.b	items.g	items.u	means	F1
1	about	2.2788065827494	-0.647480192694143	0	1	0	1
2	above	1.98513325184865	0.311701472586431	0	1	0	1
3	after	0.47223882145044	0.310001880713601	0	1	0	1
4	all	0.953555986941698	0.0971657596091754	0	1	0	1
5	alligator	6.83405726697522	2.60733305634474	0	1	0	1
6	animal	4.16598361311504	1.18762572365872	0	1	0	1
7	ankle	7.04221917969124	0.389998186495237	0	1	0	1
8	another	0.765441726625695	0.576683460399553	0	1	0	1
9	ant	6.83405726697517	2.60733305634474	0	1	0	1
10	any	0.975852569624842	-1.04422396820528	0	1	0	1
11	apple	36.2142325080586	0.797330154117251	0	1	0	1
12	arm	1.27367166423863	0.705354695959959	0	1	0	1
13	around	1.22102587550877	-0.570636906966647	0	1	0	1
14	asleep	2.98580585398645	0.954847083343049	0	1	0	1
15	at	1.66585748133181	-1.64109289376759	0	1	0	1
16	aunt	50.3889317410163	1.09901243248327	0	1	0	1
17	awake	0.78037497046778	1.02749762244524	0	1	0	1
18	away	0.992179151908364	-1.03542097611104	0	1	0	1
19	baby	1.20323954235289	1.10817818092439	0	1	0	1
20	back	3.61531197319195	-0.279197922343413	0	1	0	1
21	backyard	6.83405726697518	2.60733305634474	0	1	0	1
22	bad	2.37412637115116	0.296183259352847	0	1	0	1
23	ball	6.83405726697521	2.60733305634474	0	1	0	1
24	balloon	36.2142325080585	0.797330154117259	0	1	0	1
25	banana	4.26560426594019	0.62674130314634	0	1	0	1
26	basement	6.83405726697517	2.60733305634474	0	1	0	1
27	basket	6.83405726697517	2.60733305634474	0	1	0	1
28	bat	6.83405726697521	2.60733305634474	0	1	0	1
29	bath	1.3315783406598	2.07259185582834	0	1	0	1
30	bathroom	6.83405726697522	2.60733305634474	0	1	0	1
31	beach	50.3889317410163	1.09901243248327	0	1	0	1
32	beads	6.83405726697521	2.60733305634474	0	1	0	1
33	beans	6.83405726697521	2.60733305634474	0	1	0	1
34	bear	6.83405726697519	2.60733305634474	0	1	0	1
35	bed	0.768908005898944	0.136113587962222	0	1	0	1
36	bedroom	36.2142325080585	0.797330154117259	0	1	0	1
37	bee	6.83405726697521	2.60733305634474	0	1	0	1
38	before	1.98511519500706	0.311702392216883	0	1	0	1
39	behind	2.44124988910056	0.0862305240969882	0	1	0	1
40	belt	1.74392452073837	1.22717729244773	0	1	0	1
