word	items.a	items.b	items.g	items.u	means	F1
1	about	0.845522315621469	1.49435284134442	0	1	0	1
2	above	2.76546642631841	0.0720491330518095	0	1	0	1
3	after	0.997429497958976	-1.8380644362919	0	1	0	1
4	airplane	2.67259688819313	0.1968336146803	0	1	0	1
5	all	4.80876649392748	-0.278980588101322	0	1	0	1
6	alligator	1.23403430233674	1.0274069399388	0	1	0	1
7	animal	0.771907593009887	2.24698582958948	0	1	0	1
8	ankle	0.593637497760254	-0.0367668718366154	0	1	0	1
9	another	5.1676129377213	-2.56398793786141	0	1	0	1
10	ant	43.1516746981834	-0.0414950604670788	0	1	0	1
11	any	1.25528812646758	-2.09653264027948	0	1	0	1
12	apple	0.771907594729962	2.24698582495031	0	1	0	1
13	applesauce	0.886703571312629	2.78846049070984	0	1	0	1
14	arm	5.61597762353762	0.258263462608033	0	1	0	1
15	around	2.97464694712547	-0.0414096657674375	0	1	0	1
16	asleep	7.86870866229947	-0.0887766962495012	0	1	0	1
17	at	0.582423561171934	-2.18494409092239	0	1	0	1
18	aunt	9.02094953538807	-0.140607514980628	0	1	0	1
19	awake	0.864035417781671	0.293253163470197	0	1	0	1
20	away	0.704322045741619	-0.0392678495389015	0	1	0	1
21	baby	0.747689064741762	-1.25589861292646	0	1	0	1
22	babysitter	0.680257592884144	1.29369064221032	0	1	0	1
23	back	0.830575554639175	0.668347282778789	0	1	0	1
24	backyard	4.14977946845305	-0.41292625548711	0	1	0	1
25	bad	4.5051645558961	2.83476126209585	0	1	0	1
26	ball	39.8756997136462	-0.022968417847828	0	1	0	1
27	balloon	1.40988754595661	1.80434872682387	0	1	0	1
28	banana	0.8305771893764	0.668345935385868	0	1	0	1
29	basement	3.67749869093285	-0.596136445429934	0	1	0	1
30	basket	1.40988754595661	1.80434872682387	0	1	0	1
31	bat	4.5051645558961	2.83476126209585	0	1	0	1
32	bath	4.5051645558961	2.83476126209585	0	1	0	1
33	bathroom	0.422898859920042	-0.0298174200992377	0	1	0	1
34	bathtub	2.93734478988633	0.441097982542449	0	1	0	1
35	beach	2.24079891721716	-0.655281555266693	0	1	0	1
36	beads	2.76546642593553	0.0720491330646906	0	1	0	1
37	beans	0.771906929229082	2.24698761987545	0	1	0	1
38	bear	63.4931817488382	0.304882704568236	0	1	0	1
39	bed	0.466525799347992	-0.032013260119625	0	1	0	1
40	bedroom	0.570348914193587	2.16883603049581	0	1	0	1
41	bee	9.02094962426964	-0.140607514298163	0	1	0	1
42	before	0.625385120615812	-0.491334578889567	0	1	0	1
43	behind	1.97606348557684	-0.195040111854948	0	1	0	1
44	belt	0.411475212621163	2.07490774103892	0	1	0	1
45	bench	1.04144155337806	-0.321531766454524	0	1	0	1
46	beside	4.5051645558961	2.83476126209585	0	1	0	1
47	better	0.680258314412191	1.2936893118235	0	1	0	1
48	bib	2.67259688859832	0.196833614649771	0	1	0	1
49	bicycle	1.40988754595661	1.80434872682387	0	1	0	1
50	big	4.63014997979575	-0.039090379244844	0	1	0	1
51	bird	0.570348914193587	2.16883603049581	0	1	0	1
52	bite	0.545077710182051	-0.550611636502904	0	1	0	1
53	black	4.5051645558961	2.83476126209585	0	1	0	1
