,model_name,sentence_id,sentence_text,compared_word_ids,compared_words,sentence_scores,result,word_id,word
0,nyu-mll/roberta-base-1B-1,293232,that's one of the phrases that she talks about,"[2, 277, 375, 253, 276, 22, 162, 370, 589, 91, 369]","['about', 'into', 'out', 'here', 'inside', 'away', 'down', 'on top of', 'up', 'by', 'on']","[-22.62333393096924, -31.557979583740234, -35.57395124435425, -33.20826864242554, -31.635183811187744, -38.81805372238159, -33.82156944274902, -25.611846923828125, -33.05265760421753, -34.77451229095459]",True,2,about
1,nyu-mll/roberta-base-1B-1,319892,well i don't know why you're unhappy about that,"[2, 19, 17, 276, 253, 378, 375, 3, 51, 27, 367]","['about', 'at', 'around', 'inside', 'here', 'over', 'out', 'above', 'beside', 'back', 'off']","[-30.557682991027832, -30.32424306869507, -35.170072078704834, -38.75197792053223, -43.533719539642334, -45.342708110809326, -35.60364103317261, -46.93091821670532, -46.84305143356323, -41.2302131652832]",False,2,about
2,nyu-mll/roberta-base-1B-1,45812,"he had no sticks, however, and, casting about in his mind for a good substitute for the genuine thing, bethought him of bulrushes.","[2, 22, 353, 276, 543, 47, 367, 253, 51, 17, 277]","['about', 'away', 'next to', 'inside', 'there', 'behind', 'off', 'here', 'beside', 'around', 'into']","[-49.405099868774414, -48.43190002441406, -95.7694001197815, -98.98025846481323, -117.17719745635986, -108.36971473693848, -103.38431072235107, -105.6765284538269, -98.11570072174072, -108.52049970626831]",False,2,about
3,nyu-mll/roberta-base-1B-1,367570,you like orange and green yes that's right see what did what did i say about that green light,"[2, 3, 375, 17, 370, 543, 19, 162, 91, 559, 369]","['about', 'above', 'out', 'around', 'on top of', 'there', 'at', 'down', 'by', 'to', 'on']","[-110.67178630828857, -97.09226274490356, -111.75400686264038, -94.1787838935852, -101.13664722442627, -108.40008878707886, -99.524010181427, -91.12464666366577, -106.78150701522827, -100.12614965438843]",False,2,about
4,nyu-mll/roberta-base-1B-1,323701,well we're gonna have_to try to think about how to makes sure it goes better,"[2, 19, 17, 51, 375, 91, 27, 369, 559, 162, 366]","['about', 'at', 'around', 'beside', 'out', 'by', 'back', 'on', 'to', 'down', 'of']","[-107.51516675949097, -99.56310367584229, -96.52750778198242, -97.0269021987915, -65.39432096481323, -76.86862468719482, -75.19330596923828, -80.35268974304199, -70.24707221984863, -77.76428270339966]",False,2,about
5,nyu-mll/roberta-base-1B-1,229744,let's go play downstairs for about twenty minutes,"[2, 22, 543, 277, 198, 3, 366, 559, 367, 353, 589]","['about', 'away', 'there', 'into', 'for', 'above', 'of', 'to', 'off', 'next to', 'up']","[-71.87895774841309, -65.81890487670898, -73.24200630187988, -75.66914653778076, -60.26184368133545, -24.45665454864502, -38.40544891357422, -38.18545579910278, -42.57976531982422, -42.729912757873535]",False,2,about
6,nyu-mll/roberta-base-1B-1,316134,we stopped worrying about it a long time ago,"[2, 253, 587, 367, 375, 198, 3, 276, 51, 589, 162]","['about', 'here', 'under', 'off', 'out', 'for', 'above', 'inside', 'beside', 'up', 'down']","[-40.89294242858887, -45.58229970932007, -43.286041259765625, -39.2448034286499, -34.68203020095825, -36.130125999450684, -17.313511848449707, -48.37984848022461, -36.238648414611816, -38.108877182006836]",False,2,about
7,nyu-mll/roberta-base-1B-1,2189,"he looked all about him and thought he must be dreaming, as he could not see anybody.","[2, 22, 253, 162, 366, 51, 19, 378, 617, 27, 587]","['about', 'away', 'here', 'down', 'of', 'beside', 'at', 'over', 'with', 'back', 'under']","[-40.88225317001343, -31.58066177368164, -39.7998743057251, -37.641133308410645, -40.94268751144409, -40.35464429855347, -40.50259876251221, -27.279149055480957, -57.50886821746826, -55.316569805145264]",False,2,about
8,nyu-mll/roberta-base-1B-1,154487,but what about these guys what are we supposed to do with them,"[2, 162, 617, 3, 198, 369, 353, 17, 51, 589, 587]","['about', 'down', 'with', 'above', 'for', 'on', 'next to', 'around', 'beside', 'up', 'under']","[-48.95350122451782, -44.1609902381897, -44.20305347442627, -38.76991605758667, -25.630704402923584, -47.961737632751465, -54.51690435409546, -37.02428722381592, -23.397417068481445, -51.84656476974487]",False,2,about
9,nyu-mll/roberta-base-1B-1,151406,birdie and thomas says how about a race birdie,"[2, 370, 587, 375, 617, 17, 369, 543, 378, 367, 51]","['about', 'on top of', 'under', 'out', 'with', 'around', 'on', 'there', 'over', 'off', 'beside']","[-24.060136795043945, -52.54029846191406, -33.859386920928955, -40.499775409698486, -40.96648073196411, -35.912429332733154, -46.345598220825195, -42.86726474761963, -44.91843605041504, -65.8574628829956]",True,2,about
10,nyu-mll/roberta-base-1B-1,35049,may her bed above be aisy!'',"[3, 162, 27, 587, 375, 369, 353, 589, 559, 17, 198]","['above', 'down', 'back', 'under', 'out', 'on', 'next to', 'up', 'to', 'around', 'for']","[-71.97857570648193, -71.61326169967651, -68.3134388923645, -77.20381498336792, -76.33781290054321, -76.90979766845703, -77.10761213302612, -74.42754077911377, -69.81132698059082, -78.7165207862854]",False,3,above
11,nyu-mll/roberta-base-1B-1,176170,dragonflies fly low above ponds and streams early in the summer,"[3, 162, 559, 587, 617, 2, 369, 17, 47, 370, 366]","['above', 'down', 'to', 'under', 'with', 'about', 'on', 'around', 'behind', 'on top of', 'of']","[-79.1674394607544, -32.81526756286621, -39.212241649627686, -36.725523471832275, -36.85129642486572, -47.75071334838867, -37.72883749008179, -30.724974632263184, -35.18856239318848, -38.88237762451172]",False,3,above
12,nyu-mll/roberta-base-1B-1,73313,"she thought una would be mad at you for writing 'em, cause the cliffords are so proud and think themselves above everybody else.","[3, 19, 367, 22, 370, 253, 47, 589, 366, 51, 353]","['above', 'at', 'off', 'away', 'on top of', 'here', 'behind', 'up', 'of', 'beside', 'next to']","[-29.630873680114746, -40.61878490447998, -104.52221393585205, -112.3210096359253, -103.91576337814331, -113.47938299179077, -102.27899360656738, -122.6009955406189, -108.86634635925293, -108.51992225646973]",True,3,above
13,nyu-mll/roberta-base-1B-1,102824,two butterfly-winged devas held a wreath over his head; above them another pair supported an umbrella surmounted by the jewelled headdress of the bodhisat.,"[3, 22, 198, 2, 367, 369, 253, 617, 378, 375, 370]","['above', 'away', 'for', 'about', 'off', 'on', 'here', 'with', 'over', 'out', 'on top of']","[-104.4213342666626, -109.72909212112427, -105.44100761413574, -76.57488775253296, -96.35737323760986, -81.0338397026062, -83.23470306396484, -87.98017501831055, -80.10717725753784, -100.92209720611572]",False,3,above
14,nyu-mll/roberta-base-1B-1,113735,the top of it was only about two feet above the ground.,"[3, 378, 369, 353, 22, 589, 587, 19, 366, 91, 367]","['above', 'over', 'on', 'next to', 'away', 'up', 'under', 'at', 'of', 'by', 'off']","[-81.04842567443848, -79.40561294555664, -99.80155515670776, -74.75981521606445, -19.04054546356201, -23.325072288513184, -25.363895416259766, -27.767711639404297, -40.10424280166626, -28.95772361755371]",False,3,above
15,nyu-mll/roberta-base-1B-1,101069,the latter stood in several places as much as a foot or a foot and a half above the surface of the sand.,"[3, 587, 370, 2, 353, 47, 366, 369, 253, 162, 378]","['above', 'under', 'on top of', 'about', 'next to', 'behind', 'of', 'on', 'here', 'down', 'over']","[-25.071012496948242, -36.7234468460083, -29.542490005493164, -30.649335384368896, -20.183000564575195, -35.8274359703064, -41.31605863571167, -36.18445444107056, -50.455252170562744, -38.0195107460022]",False,3,above
16,nyu-mll/roberta-base-1B-1,93413,"as long as proserpina was above ground, there might have been hopes of regaining her.","[3, 353, 366, 162, 375, 559, 2, 27, 47, 277, 91]","['above', 'next to', 'of', 'down', 'out', 'to', 'about', 'back', 'behind', 'into', 'by']","[-43.62850284576416, -49.232534408569336, -40.34234666824341, -59.25200128555298, -51.93256425857544, -41.651987075805664, -30.295453548431396, -41.86702585220337, -44.787582874298096, -46.93747425079346]",False,3,above
17,nyu-mll/roberta-base-1B-1,86330,she had gone down with some over-harbour friends to the rock-shore where they all lingered as dance after dance went on above them.,"[3, 543, 369, 51, 22, 91, 253, 47, 617, 27, 589]","['above', 'there', 'on', 'beside', 'away', 'by', 'here', 'behind', 'with', 'back', 'up']","[-50.89028358459473, -51.96823596954346, -50.05919027328491, -49.006081104278564, -47.523192405700684, -53.781657695770264, -47.43792963027954, -65.45059299468994, -83.75710582733154, -74.14848947525024]",False,3,above
18,nyu-mll/roberta-base-1B-1,105376,"he was plunging into a beautiful dreamland when his ears caught a whisper, thin and sharp, above the monotonous babble round the fire.","[3, 543, 253, 162, 276, 22, 353, 198, 51, 367, 587]","['above', 'there', 'here', 'down', 'inside', 'away', 'next to', 'for', 'beside', 'off', 'under']","[-65.69444179534912, -84.77782535552979, -69.3437328338623, -85.54349088668823, -64.96010446548462, -66.5313892364502, -89.98560762405396, -82.60736322402954, -65.70207071304321, -82.817129611969]",False,3,above
19,nyu-mll/roberta-base-1B-1,1348,"my princess, birds above echo back our songs of love, as through this enchanted land blithe we wander, hand in hand.","[3, 617, 366, 2, 22, 276, 277, 375, 47, 559, 367]","['above', 'with', 'of', 'about', 'away', 'inside', 'into', 'out', 'behind', 'to', 'off']","[-81.6288537979126, -76.29163789749146, -72.09181261062622, -76.96395063400269, -65.56699228286743, -73.71577548980713, -68.43070125579834, -71.66576290130615, -72.18351888656616, -100.10365056991577]",False,3,above
20,nyu-mll/roberta-base-1B-1,354441,yeah you was coming after my toilet tissue,"[4, 363, 561, 299, 46, 555, 337, 625, 355, 563, 565]","['after', 'now', 'today', 'later', 'before', 'time', 'morning', 'yesterday', 'night', 'tomorrow', 'tonight']","[-52.48312282562256, -65.72842454910278, -67.86144876480103, -61.399991035461426, -55.81849145889282, -68.5890703201294, -68.19386434555054, -67.37563896179199, -68.95106649398804, -66.71968030929565]",True,4,after
21,nyu-mll/roberta-base-1B-1,120587,after we have rested awhile we will go over to the old pasture.,"[4, 563, 149, 337, 46, 561, 565, 355, 363, 625, 555]","['after', 'tomorrow', 'day', 'morning', 'before', 'today', 'tonight', 'night', 'now', 'yesterday', 'time']","[-64.86079788208008, -38.03257894515991, -65.56314373016357, -52.81630086898804, -45.677990436553955, -46.47970151901245, -46.33165502548218, -58.5413122177124, -48.20574903488159, -47.891528606414795]",False,4,after
22,nyu-mll/roberta-base-1B-1,79758,if it were joyce he were after miss sally blocked his schemes with much enjoyment.,"[4, 565, 561, 555, 46, 563, 149, 363, 299, 355, 337]","['after', 'tonight', 'today', 'time', 'before', 'tomorrow', 'day', 'now', 'later', 'night', 'morning']","[-51.69026756286621, -46.965925216674805, -121.25299024581909, -120.84540510177612, -123.15786123275757, -128.50436544418335, -117.56678485870361, -125.62408494949341, -126.93177938461304, -130.56047201156616]",False,4,after
23,nyu-mll/roberta-base-1B-1,51758,i 'm sure i ca n't tell her all my secrets after this... she might tell fred.,"[4, 149, 561, 355, 299, 563, 555, 46, 565, 337, 625]","['after', 'day', 'today', 'night', 'later', 'tomorrow', 'time', 'before', 'tonight', 'morning', 'yesterday']","[-132.74222421646118, -123.87109756469727, -125.76338386535645, -105.36656045913696, -125.55782175064087, -120.1747670173645, -127.64941549301147, -114.6857385635376, -119.16508913040161, -126.93259525299072]",False,4,after
24,nyu-mll/roberta-base-1B-1,134102,and after your nap probably mormor would be here,"[4, 563, 565, 149, 625, 555, 46, 355, 363, 337, 561]","['after', 'tomorrow', 'tonight', 'day', 'yesterday', 'time', 'before', 'night', 'now', 'morning', 'today']","[-108.61818742752075, -120.21203184127808, -126.3586688041687, -120.58831024169922, -48.89163827896118, -65.14286088943481, -63.73495292663574, -68.1626296043396, -63.430086612701416, -69.24974536895752]",False,4,after
25,nyu-mll/roberta-base-1B-1,58992,"every day she loved her more, and yearned after her more deeply.","[4, 337, 555, 46, 299, 563, 149, 561, 625, 363, 565]","['after', 'morning', 'time', 'before', 'later', 'tomorrow', 'day', 'today', 'yesterday', 'now', 'tonight']","[-50.83532238006592, -67.65137100219727, -61.13562297821045, -69.49687767028809, -64.27834701538086, -36.12763214111328, -48.18166494369507, -45.04873323440552, -44.336713790893555, -51.667789459228516]",False,4,after
26,nyu-mll/roberta-base-1B-1,298995,then where did daddy take you after that,"[4, 625, 561, 149, 46, 363, 299, 355, 555, 565, 563]","['after', 'yesterday', 'today', 'day', 'before', 'now', 'later', 'night', 'time', 'tonight', 'tomorrow']","[-45.216609477996826, -50.42231607437134, -44.77227163314819, -49.801753997802734, -46.83911371231079, -45.6326117515564, -33.14270210266113, -47.61325550079346, -45.69522190093994, -52.57611274719238]",False,4,after
27,nyu-mll/roberta-base-1B-1,338461,where is the boy who looks after the sheep,"[4, 565, 625, 363, 563, 555, 149, 337, 299, 561, 355]","['after', 'tonight', 'yesterday', 'now', 'tomorrow', 'time', 'day', 'morning', 'later', 'today', 'night']","[-33.63481664657593, -43.37119913101196, -46.588144302368164, -51.53197622299194, -55.82278394699097, -46.25847911834717, -51.462117195129395, -23.856778621673584, -44.487359046936035, -43.7413854598999]",False,4,after
28,nyu-mll/roberta-base-1B-1,116665,after that he kept out of sight of all his neighbors.,"[4, 149, 625, 563, 561, 46, 337, 355, 363, 555, 299]","['after', 'day', 'yesterday', 'tomorrow', 'today', 'before', 'morning', 'night', 'now', 'time', 'later']","[-42.89698266983032, -42.21495723724365, -44.61006450653076, -44.97903251647949, -44.91995716094971, -44.62752437591553, -45.980008125305176, -50.045390129089355, -19.321907997131348, -30.503459930419922]",False,4,after
29,nyu-mll/roberta-base-1B-1,352189,yeah next time maybe we can come maybe i'll come in the afternoon because after you'd left and we had arranged for this time i realized that sometimes of course it's different,"[4, 625, 46, 555, 565, 363, 561, 355, 149, 337, 563]","['after', 'yesterday', 'before', 'time', 'tonight', 'now', 'today', 'night', 'day', 'morning', 'tomorrow']","[-30.285917282104492, -32.984354972839355, -29.609546661376953, -28.670483589172363, -31.51270341873169, -29.213468551635742, -28.91280746459961, -32.120028495788574, -28.24699306488037, -111.98353385925293]",False,4,after
30,nyu-mll/roberta-base-1B-1,378959,you've never been on an airplane before,"[5, 577, 248, 578, 54, 98, 85, 190, 524, 486, 573]","['airplane', 'tricycle', 'helicopter', 'truck', 'bicycle', 'car', 'bus', 'firetruck', 'stroller', 'sled', 'train']","[-17.77198028564453, -35.97579002380371, -37.58714056015015, -40.46348857879639, -36.284284591674805, -41.0667085647583, -33.08006286621094, -34.28521680831909, -37.028892993927, -34.48356246948242]",True,5,airplane
31,nyu-mll/roberta-base-1B-1,167822,do you know how to make a paper airplane,"[5, 98, 572, 486, 54, 248, 63, 85, 577, 524, 578]","['airplane', 'car', 'tractor', 'sled', 'bicycle', 'helicopter', 'boat', 'bus', 'tricycle', 'stroller', 'truck']","[-32.38974666595459, -26.73146152496338, -26.083518028259277, -30.09229612350464, -27.73618793487549, -28.06897211074829, -34.88109302520752, -25.17904281616211, -27.382699966430664, -21.8145751953125]",False,5,airplane
32,nyu-mll/roberta-base-1B-1,321879,well not now they're not in the airplane,"[5, 248, 524, 578, 486, 190, 577, 98, 572, 85, 573]","['airplane', 'helicopter', 'stroller', 'truck', 'sled', 'firetruck', 'tricycle', 'car', 'tractor', 'bus', 'train']","[-22.817129135131836, -27.244179725646973, -42.88194465637207, -41.08994817733765, -42.4580078125, -39.68641424179077, -46.14355134963989, -45.16748857498169, -43.54142618179321, -36.5716118812561]",True,5,airplane
