,model_name,sentence_id,sentence_text,compared_word_ids,compared_words,sentence_scores,result,word_id,word
0,nyu-mll/roberta-base-10M-1,293232,that's one of the phrases that she talks about,"[2, 277, 375, 253, 276, 22, 162, 370, 589, 91, 369]","['about', 'into', 'out', 'here', 'inside', 'away', 'down', 'on top of', 'up', 'by', 'on']","[-42.71990489959717, -49.80598545074463, -51.88371515274048, -52.895814418792725, -54.11044120788574, -53.53891181945801, -55.10469198226929, -51.27229595184326, -50.573513984680176, -53.74634265899658]",True,2,about
1,nyu-mll/roberta-base-10M-1,319892,well i don't know why you're unhappy about that,"[2, 19, 17, 276, 253, 378, 375, 3, 51, 27, 367]","['about', 'at', 'around', 'inside', 'here', 'over', 'out', 'above', 'beside', 'back', 'off']","[-50.666409492492676, -56.105040550231934, -52.96310901641846, -59.52026128768921, -63.47523593902588, -61.088175773620605, -59.036763191223145, -60.13135623931885, -64.09660339355469, -62.810909271240234]",True,2,about
2,nyu-mll/roberta-base-10M-1,45812,"he had no sticks, however, and, casting about in his mind for a good substitute for the genuine thing, bethought him of bulrushes.","[2, 22, 353, 276, 543, 47, 367, 253, 51, 17, 277]","['about', 'away', 'next to', 'inside', 'there', 'behind', 'off', 'here', 'beside', 'around', 'into']","[-62.83396530151367, -65.21151351928711, -147.3400902748108, -148.0402226448059, -157.00189685821533, -156.85220050811768, -145.93674421310425, -154.31956243515015, -143.05596494674683, -153.12665510177612]",True,2,about
3,nyu-mll/roberta-base-10M-1,367570,you like orange and green yes that's right see what did what did i say about that green light,"[2, 3, 375, 17, 370, 543, 19, 162, 91, 559, 369]","['about', 'above', 'out', 'around', 'on top of', 'there', 'at', 'down', 'by', 'to', 'on']","[-147.08094453811646, -147.77020120620728, -150.949387550354, -129.59268474578857, -135.32505416870117, -133.81920337677002, -138.63957691192627, -124.95185947418213, -137.97281408309937, -134.77390909194946]",False,2,about
4,nyu-mll/roberta-base-10M-1,323701,well we're gonna have_to try to think about how to makes sure it goes better,"[2, 19, 17, 51, 375, 91, 27, 369, 559, 162, 366]","['about', 'at', 'around', 'beside', 'out', 'by', 'back', 'on', 'to', 'down', 'of']","[-139.66160011291504, -126.65386867523193, -127.79041862487793, -131.2210235595703, -71.85401725769043, -87.19540214538574, -88.19934701919556, -91.6577696800232, -82.71578168869019, -86.26426267623901]",False,2,about
5,nyu-mll/roberta-base-10M-1,229744,let's go play downstairs for about twenty minutes,"[2, 22, 543, 277, 198, 3, 366, 559, 367, 353, 589]","['about', 'away', 'there', 'into', 'for', 'above', 'of', 'to', 'off', 'next to', 'up']","[-85.02023410797119, -75.70653200149536, -90.48690223693848, -88.9606237411499, -70.69299745559692, -46.49477529525757, -57.796276569366455, -59.377450942993164, -63.92691516876221, -58.38845205307007]",False,2,about
6,nyu-mll/roberta-base-10M-1,316134,we stopped worrying about it a long time ago,"[2, 253, 587, 367, 375, 198, 3, 276, 51, 589, 162]","['about', 'here', 'under', 'off', 'out', 'for', 'above', 'inside', 'beside', 'up', 'down']","[-67.54307699203491, -65.20434284210205, -62.02504062652588, -61.45490884780884, -64.28939867019653, -50.43714904785156, -30.841602325439453, -55.104530334472656, -39.77018737792969, -46.36871528625488]",False,2,about
7,nyu-mll/roberta-base-10M-1,2189,"he looked all about him and thought he must be dreaming, as he could not see anybody.","[2, 22, 253, 162, 366, 51, 19, 378, 617, 27, 587]","['about', 'away', 'here', 'down', 'of', 'beside', 'at', 'over', 'with', 'back', 'under']","[-51.4782600402832, -38.88891315460205, -40.271645069122314, -46.34419918060303, -44.07745838165283, -46.185298919677734, -46.14649772644043, -70.2147970199585, -74.51920890808105, -88.8827075958252]",False,2,about
8,nyu-mll/roberta-base-10M-1,154487,but what about these guys what are we supposed to do with them,"[2, 162, 617, 3, 198, 369, 353, 17, 51, 589, 587]","['about', 'down', 'with', 'above', 'for', 'on', 'next to', 'around', 'beside', 'up', 'under']","[-76.33281898498535, -72.45762157440186, -74.3719253540039, -64.09757232666016, -54.93872928619385, -79.30966472625732, -82.34377479553223, -70.03913021087646, -39.01446056365967, -56.68315887451172]",False,2,about
9,nyu-mll/roberta-base-10M-1,151406,birdie and thomas says how about a race birdie,"[2, 370, 587, 375, 617, 17, 369, 543, 378, 367, 51]","['about', 'on top of', 'under', 'out', 'with', 'around', 'on', 'there', 'over', 'off', 'beside']","[-39.93776035308838, -57.81553316116333, -44.3573694229126, -50.16737127304077, -53.69700527191162, -54.03869152069092, -62.36591339111328, -58.38828182220459, -52.27290153503418, -105.23490333557129]",True,2,about
10,nyu-mll/roberta-base-10M-1,35049,may her bed above be aisy!'',"[3, 162, 27, 587, 375, 369, 353, 589, 559, 17, 198]","['above', 'down', 'back', 'under', 'out', 'on', 'next to', 'up', 'to', 'around', 'for']","[-91.94041538238525, -94.21285820007324, -85.3263669013977, -93.6139235496521, -88.9893569946289, -96.52953910827637, -87.05816650390625, -92.0268006324768, -84.00186157226562, -96.96712636947632]",False,3,above
